RESOLUTION NO. 87, SERIES OF 2024%TRUE
RESOLUTION #564, SERIES OF 1516%FALSE
RESOLUTION #339, SERIES OF 1922%FALSE
RESOLUTION #825, SERIES OF 1774%FALSE
Resolution No. 972-, series of 433%FALSE
Resolution No. 261-, series of 821%FALSE
Resolution No. 144-, series of 379%FALSE
Resolution No. 508-, series of 794%FALSE
Resolution No. 629-, series of 192%FALSE
Resolution No. 915-, series of 359%FALSE
Resolution No. 402-, series of 578%FALSE
Resolution No. 796-, series of 257%FALSE
Resolution No. 108-, series of 906%FALSE
Resolution No. 386-, series of 722%FALSE
Resolution No. 921, ser. of 379%FALSE
Resolution No. 124, ser. of 740%FALSE
Resolution No. 867, ser. of 223%FALSE
Resolution No. 298, ser. of 496%FALSE
Resolution No. 712, ser. of 635%FALSE
Resolution No. 518, ser. of 855%FALSE
Resolution No. 144, ser. of 698%FALSE
Resolution No. 669, ser. of 922%FALSE
Resolution No. 230, ser. of 571%FALSE
Resolution No. 917, ser. of 312%FALSE
Res. No. 385, ser. of 703%FALSE
Res. No. 755, ser. of 547%FALSE
Res. No. 921, ser. of 412%FALSE
Res. No. 487, ser. of 689%FALSE
Res. No. 128, ser. of 998%FALSE
Res. No. 663, ser. of 292%FALSE
Res. No. 295, ser. of 531%FALSE
Res. No. 546, ser. of 810%FALSE
Res. No. 962, ser. of 174%FALSE
Res. No. 202, ser. of 913%FALSE
Resolution No. 513, series of #852%FALSE
Resolution No. 790, series of #476%FALSE
Resolution No. 267, series of #693%FALSE
Resolution No. 936, series of #210%FALSE
Resolution No. 420, series of #579%FALSE
Resolution No. 171, series of #777%FALSE
Resolution No. 677, series of #122%FALSE
Resolution No. 390, series of #964%FALSE
Resolution No. 834, series of #295%FALSE
Resolution No. 119, series of #680%FALSE
Resolution No. 291-981, series of 102%FALSE
Resolution No. 501-883, series of 546%FALSE
Resolution No. 667-148, series of 736%FALSE
Resolution No. 221-437, series of 914%FALSE
Resolution No. 422-694, series of 782%FALSE
Resolution No. 746-617, series of 301%FALSE
Resolution No. 950-841, series of 125%FALSE
Resolution No. 880-118, series of 986%FALSE
Resolution No. 383-200, series of 629%FALSE
Resolution No. 966-491, series of 429%FALSE
R-2022-005%FALSE
R-2023-128%FALSE
R-2021-025%FALSE
R-2024-001%FALSE
R-2022-112%FALSE
R-2023-003%FALSE
R-2024-008%FALSE
R-2021-113%FALSE
R-2022-052%FALSE
R-2023-001%FALSE
Resolution No. 587F, series of 2008%FALSE
Resolution No. 94D, series of 1999%FALSE
Resolution No. 782G, series of 1987%FALSE
Resolution No. 19T, series of 2015%FALSE
Resolution No. 623A, series of 1976%FALSE
Resolution No. 405K, series of 2002%FALSE
Resolution No. 91J, series of 1981%FALSE
Resolution No. 500E, series of 1990%FALSE
Resolution No. 77M, series of 1973%FALSE
Resolution No. 222N, series of 2019%FALSE
Res-MMXXII-V%FALSE
Res-MMXXI-IV%FALSE
Res-MMXXIII-II%FALSE
Res-MMXXI-VIII%FALSE
Res-MMXXIV-XI%FALSE
Res-MMXXI-XIII%FALSE
Res-MMXXII-I%FALSE
Res-MMXXIII-VI%FALSE
Res-MMXXI-XVII%FALSE
Res-MMXXII-IX%FALSE
Resolution No. 871%FALSE
Resolution No. 226%FALSE
Resolution No. 539%FALSE
Resolution No. 1028%FALSE
Resolution No. 413%FALSE
Resolution No. 645%FALSE
Resolution No. 972%FALSE
Resolution No. 187%FALSE
Resolution No. 780%FALSE
Resolution No. 303%FALSE
RESOLUTION NO 87, SERIES OF 2024%FALSE
RESOLUTION NO 205, SERIES OF 2025%FALSE
RESOLUTION NO 12, SERIES OF 2023%FALSE
RESOLUTION NO 54, SERIES OF 2026%FALSE
RESOLUTION NO 112, SERIES OF 2027%FALSE
RESOLUTION NO 7, SERIES OF 2022%FALSE
RESOLUTION NO 301, SERIES OF 2028%FALSE
RESOLUTION NO 88, SERIES OF 2023%FALSE
RESOLUTION NO 45, SERIES OF 2024%FALSE
RESOLUTION NO 173, SERIES OF 2026%FALSE
RESOLUTION NO 324, SERIES OF 523%FALSE
RESOLUTION NO 234, SERIES OF 322%FALSE
RESOLUTION NO 443, SERIES OF 787%FALSE
RESOLUTION NO 199, SERIES OF 478%FALSE
RESOLUTION NO 750, SERIES OF 867%FALSE
